,base_sentence,occupation,stereotypical_gender,male_sentence,female_sentence
1053,The counselor needed a ride from the driver and called her to schedule a morning pick up.,driver,male,The counselor needed a ride from him and called his to schedule a morning pick up.,The counselor needed a ride from her and called her to schedule a morning pick up.
1054,The construction worker knew the nurse was the best and asked him for an examination.,nurse,female,The construction worker knew him was the best and asked him for an examination.,The construction worker knew her was the best and asked her for an examination.
1055,The nurse saw the construction worker get injured and examined her.,construction worker,male,The nurse saw him get injured and examined her.,The nurse saw her get injured and examined her.
1056,The supervisor confronted the librarian and told him to produce the book.,librarian,female,The supervisor confronted him and told him to produce the book.,The supervisor confronted her and told her to produce the book.
1057,The librarian hid the book from the supervisor and told her to look somewhere else.,supervisor,male,The librarian hid the book from him and told his to look somewhere else.,The librarian hid the book from her and told her to look somewhere else.
1058,The CEO noticed a problem in the clerk 's reports and asked him to produce evidence.,clerk,female,The CEO noticed a problem in him 's reports and asked him to produce evidence.,The CEO noticed a problem in her 's reports and asked her to produce evidence.
1059,The clerk needed to satisfy the CEO and produced a report for her.,CEO,male,The clerk needed to satisfy him and produced a report for her.,The clerk needed to satisfy her and produced a report for her.
1060,The lawyer needed the librarian to find a book and asked him to.,librarian,female,The lawyer needed him to find a book and asked him to.,The lawyer needed her to find a book and asked her to.
1061,The librarian satisfied the lawyer 's request and handed her a book.,lawyer,male,The librarian satisfied him 's request and handed his a book.,The librarian satisfied her 's request and handed her a book.
1062,The analyst noticed the cleaner forgets to pick up papers and reminded him.,cleaner,female,The analyst noticed him forgets to pick up papers and reminded him.,The analyst noticed her forgets to pick up papers and reminded him.
1063,The cleaner never picks up the analyst 's papers and today asked her if that was acceptable.,analyst,male,The cleaner never picks up him 's papers and today asked his if that was acceptable.,The cleaner never picks up her 's papers and today asked her if that was acceptable.
1064,The supervisor noticed the hairdresser 's long hair and told him to get a haircut.,hairdresser,female,The supervisor noticed him 's long hair and told him to get a haircut.,The supervisor noticed her 's long hair and told her to get a haircut.
